,tweets,likes,time
125,"RT @paxful: Isla Tasajera 🤝 Bitcoin 

We spent Day 2 of the #LightningDiaries in #ElSalvador on Isla Tasajera: a small community who wanted…",0,2021-11-15 21:02:52+00:00
126,RT @NoticieroHechos: Inversionistas europeos visitaron varias playas de La Libertad para conocer cómo se realizan las transacciones con Bit…,0,2021-11-15 21:02:52+00:00
127,"RT @Cointelegraph: Moonvember is set to continue! 

Bitcoin did not disappoint during the Sunday weekly close. Most analysts believe BTC le…",0,2021-11-15 21:02:52+00:00
128,"@TheMoonCarl One of the most brilliant selling points for $BTC I have ever heard. Most people aspire to wealth, so forget about trying to explain #Bitcoin just tell them that!",0,2021-11-15 21:02:52+00:00
129,RT @BitcoinMagazine: JUST IN - Senators introduce bill to amend new #Bitcoin and crypto tax reporting rules. https://t.co/LuJJWb6b2d,0,2021-11-15 21:02:51+00:00
130,"@NPR For all those who are new to this working from home Bitcoin trading options 

Here's a little tip:

Get a trusted Bitcoin expert and stick to her @earn_with_jens_

Invest and play at similar times each day.
Because :
In times of chaos, your investment is your anchor to success",0,2021-11-15 21:02:51+00:00
131,RT @BlocVaultAPP: Our developers are working hard behind the scenes to bring the website to you all while we are on the last phase of discu…,0,2021-11-15 21:02:51+00:00
132,"@WazirXIndia Don't depend on a single income, Learn how to trade binace / Bitcoin 
Click on the link for more information
👇👇👇👇👇
https://t.co/nCKg9kmhck",0,2021-11-15 21:02:50+00:00
133,"RT @InvestWithDiego: @nypost I think @coinbase has the wrong #bitcoin listed on their site. 
I don't think this #BTC is bitcoin  🤔

@Coinba…",0,2021-11-15 21:02:50+00:00
134,RT @cameron: Bitcoin is consumer protection from the Fed,0,2021-11-15 21:02:50+00:00
135,"RT @CRUNewsDesk: All signs point to Jack Dorsey releasing a #DeFi product on #Bitcoin next week. The #whitepaper is slated for Friday, Nove…",0,2021-11-15 21:02:50+00:00
136,RT @TheMoonCarl: BUY THE #BITCOIN DIP!!!,0,2021-11-15 21:02:50+00:00
137,RT @Rolandezra101: Selling peanuts for #bitcoin  in El Salvador 🇸🇻 https://t.co/zVN7QXJqQO,0,2021-11-15 21:02:50+00:00
138,"RT @ICOAnnouncement: 🎙 New Project

🔷 SolarDex (SOLAR)

🔶 Solar Dex aims to build a decentralized exchange based on the Solana blockchain.…",0,2021-11-15 21:02:50+00:00
139,BREAKING NEWS — The US dollar crashes to a record-low against #Bitcoin,0,2021-11-15 21:02:50+00:00
140,"RT @CryptoWithCA: Are you guys ready for the #Hotbit listing 🔥 🔥

@buffdogecoin will start Action at -

UTC time -
🔥 Deposit - 7:00 AM
🔥 Tr…",0,2021-11-15 21:02:49+00:00
