,Date,Open,High,Low,Adj Close,Volume,ref_Close,Perc_ref,Perc_Change,Ticker,Net_Close,Net_High,Net_Low,PC 1,PC 2,PC 3,Class
97,2020-05-21,4.45,4.65,4.4,4.44,1971900,-1.8699999999999992,-0.2963549920760696,-0.0022522522522522,GME,-0.0099999999999997,0.2000000000000001,-0.0499999999999998,-0.7351732563409157,-0.8195501665569824,0.1449707797320176,0
98,2020-05-22,4.46,4.49,4.13,4.18,2379900,-2.13,-0.3375594294770206,-0.0669856459330144,GME,-0.2800000000000002,0.0300000000000002,-0.33,-0.5589335308154804,-0.8694288846686644,0.1938906373747246,0
99,2020-05-26,4.34,4.61,4.33,4.42,3545700,-1.89,-0.2995245641838351,0.0180995475113122,GME,0.08,0.2700000000000004,-0.0099999999999997,-0.7635097346833205,-0.7251645522346066,0.19481902208128793,0
100,2020-05-27,4.57,4.71,4.36,4.69,3146600,-1.6199999999999992,-0.2567353407290015,0.0255863539445629,GME,0.1200000000000001,0.1399999999999996,-0.2099999999999999,-0.7005267960270425,-0.7766127653646789,0.19848743166644606,0
101,2020-05-28,4.75,4.76,4.3,4.33,2183900,-1.9799999999999995,-0.3137876386687797,-0.0969976905311778,GME,-0.4199999999999999,0.0099999999999997,-0.4500000000000002,-0.48276827301120884,-0.8850077491213272,0.17931881880587724,0
102,2020-05-29,4.33,4.42,4.05,4.06,3961700,-2.25,-0.3565768621236133,-0.0665024630541873,GME,-0.2700000000000004,0.0899999999999998,-0.2800000000000002,-0.5701527617999553,-0.7849290344765801,0.24998385689155084,0
103,2020-06-01,4.12,4.36,4.02,4.13,2611600,-2.18,-0.3454833597464342,0.0024213075060532,GME,0.0099999999999997,0.2400000000000002,-0.1000000000000005,-0.7201812277845637,-0.7720869680971759,0.15315478030657645,0
104,2020-06-02,4.27,4.31,4.06,4.18,2369400,-2.13,-0.3375594294770206,-0.0215311004784688,GME,-0.0899999999999998,0.04,-0.2099999999999999,-0.6486177074972174,-0.8629706632475881,0.20204761225025003,0
105,2020-06-03,4.24,4.52,4.2,4.44,3037400,-1.8699999999999992,-0.2963549920760696,0.045045045045045,GME,0.2000000000000001,0.2799999999999993,-0.04,-0.7873958814472993,-0.7309179880544522,0.16291364932560293,0
106,2020-06-04,4.44,4.72,4.37,4.47,3514300,-1.84,-0.2916006339144215,0.006711409395973,GME,0.0299999999999993,0.2799999999999993,-0.0700000000000002,-0.7309615299299397,-0.720643138900282,0.18308299493575206,0
107,2020-06-05,4.29,4.41,4.09,4.14,6274400,-2.17,-0.3438985736925515,-0.0362318840579711,GME,-0.1500000000000003,0.1200000000000001,-0.2000000000000001,-0.6123509714630123,-0.6792114742239663,0.3522566976413409,0
108,2020-06-08,4.28,5.14,4.27,5.01,10133700,-1.2999999999999998,-0.2060221870047543,0.1457085828343312,GME,0.7299999999999995,0.8599999999999994,-0.0100000000000006,-0.9076673201070778,-0.17454448416409238,0.2723313914809953,0
109,2020-06-09,5.0,5.0,4.55,4.96,8073400,-1.3499999999999996,-0.2139461172741679,-0.0080645161290322,GME,-0.04,0.0,-0.4500000000000002,-0.5338482869535112,-0.6306160682572238,0.4449054899124716,0
110,2020-06-10,4.78,5.53,4.68,5.07,10606400,-1.239999999999999,-0.1965134706814579,0.0571992110453648,GME,0.29,0.75,-0.1000000000000005,-0.7573153617803795,-0.22318753227179206,0.3281269944452185,0
111,2020-06-11,4.64,4.9,4.18,4.37,6236000,-1.9399999999999995,-0.3074484944532487,-0.0617848970251715,GME,-0.2699999999999996,0.2600000000000007,-0.4599999999999999,-0.49971311734671403,-0.6090180594933744,0.2697269273851731,0
112,2020-06-12,4.6,4.78,4.39,4.72,4378200,-1.59,-0.2519809825673534,0.0254237288135593,GME,0.1200000000000001,0.1800000000000006,-0.2099999999999999,-0.6934850183677916,-0.7109929766659452,0.23990460643833458,0
113,2020-06-15,4.5,4.77,4.42,4.69,3909000,-1.6199999999999992,-0.2567353407290015,0.0405117270788913,GME,0.1900000000000004,0.2699999999999996,-0.08,-0.7640947605373236,-0.697919879061805,0.20124778087803868,0
114,2020-06-16,4.95,4.95,4.51,4.64,3121300,-1.67,-0.2646592709984152,-0.0668103448275863,GME,-0.3100000000000005,0.0,-0.4400000000000004,-0.5063183846561535,-0.8456138287228633,0.22519746535412788,0
115,2020-06-17,4.54,4.83,4.53,4.76,3593500,-1.5499999999999998,-0.2456418383518225,0.0462184873949579,GME,0.2199999999999997,0.29,-0.0099999999999997,-0.7991990135902589,-0.7057788168758468,0.18793957605952238,0
