,Date,Open,High,Low,Adj Close,Volume,b_ref_Close,b_Perc_ref,a_ref_Close,a_Perc_ref,Ticker,Net_Close,Net_High
143,2020-07-28,3.96,4.05,3.92,3.94,4555400,-1.6999999999999997,-0.30141843971631205,-49.56,-0.9263551401869159,GME,-0.020000000000000018,0.08999999999999986
144,2020-07-29,3.94,4.18,3.92,4.06,2879600,-1.58,-0.2801418439716312,-49.44,-0.9241121495327103,GME,0.11999999999999966,0.23999999999999977
145,2020-07-30,4.0,4.23,3.97,4.1,2398500,-1.54,-0.2730496453900709,-49.4,-0.9233644859813084,GME,0.09999999999999964,0.23000000000000043
146,2020-07-31,4.06,4.16,3.99,4.01,1879400,-1.63,-0.28900709219858156,-49.49,-0.9250467289719626,GME,-0.04999999999999982,0.10000000000000053
147,2020-08-03,4.03,4.25,4.0,4.15,2517600,-1.4899999999999993,-0.2641843971631205,-49.35,-0.9224299065420561,GME,0.1200000000000001,0.21999999999999975
148,2020-08-04,4.13,4.74,4.13,4.43,10361400,-1.21,-0.21453900709219859,-49.07,-0.917196261682243,GME,0.2999999999999998,0.6100000000000003
149,2020-08-05,4.5,4.76,4.25,4.63,4919300,-1.0099999999999998,-0.17907801418439714,-48.87,-0.9134579439252336,GME,0.1299999999999999,0.2599999999999998
150,2020-08-06,4.6,4.66,4.38,4.43,1901200,-1.21,-0.21453900709219859,-49.07,-0.917196261682243,GME,-0.16999999999999993,0.0600000000000005
151,2020-08-07,4.39,4.4,4.06,4.16,3341100,-1.4799999999999995,-0.26241134751773043,-49.34,-0.9222429906542057,GME,-0.22999999999999954,0.010000000000000675
152,2020-08-10,4.2,4.57,4.18,4.33,4561800,-1.3099999999999996,-0.23226950354609924,-49.17,-0.9190654205607477,GME,0.1299999999999999,0.3700000000000001
153,2020-08-11,4.43,4.57,4.34,4.35,3138800,-1.29,-0.22872340425531917,-49.15,-0.9186915887850468,GME,-0.08000000000000007,0.14000000000000057
