Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.810000,1.850000,1.640000,1.640000,1.640000,4071000
2020-09-24,1.600000,1.890000,1.480000,1.750000,1.750000,5946700
2020-09-25,1.760000,2.050000,1.740000,1.930000,1.930000,8295300
2020-09-28,2.050000,2.150000,1.980000,2.020000,2.020000,3865800
2020-09-29,1.990000,2.080000,1.950000,2.020000,2.020000,2396700
2020-09-30,2.000000,2.050000,1.910000,1.960000,1.960000,2040900
2020-10-01,2.010000,2.030000,1.900000,1.950000,1.950000,2484900
2020-10-02,1.850000,1.960000,1.820000,1.960000,1.960000,1840400
2020-10-05,1.960000,2.010000,1.890000,1.960000,1.960000,2880200
2020-10-06,1.930000,1.950000,1.850000,1.870000,1.870000,2219700
2020-10-07,1.870000,1.940000,1.870000,1.940000,1.940000,1714600
2020-10-08,1.980000,2.370000,1.970000,2.140000,2.140000,18834600
2020-10-09,2.240000,2.270000,2.060000,2.160000,2.160000,6001700
2020-10-12,2.220000,2.590000,2.150000,2.420000,2.420000,18581600
2020-10-13,2.500000,2.500000,2.220000,2.360000,2.360000,7581600
2020-10-14,2.250000,2.420000,2.180000,2.250000,2.250000,6173400
2020-10-15,2.120000,2.370000,2.120000,2.330000,2.330000,5121400
2020-10-16,2.300000,2.310000,2.160000,2.180000,2.180000,3428700
2020-10-19,2.290000,2.470000,2.240000,2.340000,2.340000,12348800
2020-10-20,2.480000,2.680000,2.360000,2.460000,2.460000,19529300
2020-10-21,2.800000,3.060000,2.720000,2.840000,2.840000,34785300
2020-10-22,3.070000,3.110000,2.710000,3.000000,3.000000,23509400
2020-10-23,2.870000,2.880000,2.580000,2.740000,2.740000,10512700
2020-10-26,2.910000,2.940000,2.420000,2.540000,2.540000,13681100
2020-10-27,2.760000,2.850000,2.570000,2.760000,2.760000,18966900
2020-10-28,2.500000,2.550000,2.280000,2.350000,2.350000,12497500
2020-10-29,2.280000,2.490000,2.260000,2.280000,2.280000,11043800
2020-10-30,2.270000,2.270000,2.070000,2.160000,2.160000,9964000
2020-11-02,2.120000,2.250000,2.060000,2.100000,2.100000,7388800
2020-11-03,2.160000,2.350000,2.120000,2.220000,2.220000,8262700
2020-11-04,2.260000,2.540000,2.150000,2.350000,2.350000,17677900
2020-11-05,2.510000,2.590000,2.430000,2.500000,2.500000,17925100
2020-11-06,2.530000,2.530000,2.340000,2.410000,2.410000,9111000
2020-11-09,2.300000,2.340000,2.160000,2.210000,2.210000,8188400
2020-11-10,2.160000,2.230000,2.060000,2.190000,2.190000,3942500
2020-11-11,2.230000,2.430000,2.200000,2.330000,2.330000,8969000
2020-11-12,2.380000,2.450000,2.240000,2.300000,2.300000,8648900
2020-11-13,2.320000,2.440000,2.180000,2.390000,2.390000,8794100
2020-11-16,2.380000,2.530000,2.330000,2.480000,2.480000,11321200
2020-11-17,2.580000,3.160000,2.500000,3.100000,3.100000,59645000
